NO,NOx,CO,NO2,O3,PM10,PM2.5,SO2,Class
1.2,17,0.79,16,37,177,78,12,3
1.3,17,0.8,16,36,178,77,11,3
1,14,0.71,13,38,163,72,8,3
0.8,12,0.66,11,39,147,65,6.5,2
0.6,11,0.53,10,38,131,56,5.5,2
0.8,12,0.5,11,37,112,46,5.7,2
1.4,19,0.57,18,29,103,45,5.8,2
2.3,20,0.61,17,27,104,42,6.5,2
2.9,18,0.59,15,29,111,45,6.8,2
4.1,20,0.6,16,29,111,46,5.9,2
4.2,18,0.55,14,35,100,41,5.2,1
3.8,17,0.51,13,39,92,38,4.5,1
4.2,16,0.47,12,41,83,36,3.7,1
2.9,13,0.42,10,43,76,31,3.3,1
3,15,0.41,12,39,73,25,3,1
2.4,16,0.42,13,36,66,25,3,1
1.8,16,0.45,14,33,61,24,3.2,1
2,18,0.46,16,31,57,20,3,1
2.5,20,0.45,18,29,50,22,3.2,0
2.8,24,0.48,21,24,45,20,3.3,0
3.3,27,0.52,23,20,45,19,2.4,0
3.2,23,0.43,19,22,43,19,2.3,0
2.7,20,0.4,17,23,40,17,2.2,0
1.6,15,0.35,14,26,42,14,2.2,0
1,11,0.3,9.8,31,42,12,1.6,0
0.9,8.3,0.26,7.4,35,38,12,1.5,0
0.9,6.9,0.24,6,36,35,17,1.6,0
0.5,5.5,0.23,5,37,37,21,1.6,0
0.5,6.5,0.25,6.1,35,37,20,1.7,0
1,9.8,0.29,8.8,31,37,18,1.5,0
1.7,16,0.31,14,25,39,19,1.5,0
3.9,23,0.46,19,20,43,21,1.6,0
5.7,22,0.41,17,24,46,19,1.6,0
6.3,19,0.37,13,28,46,15,1.6,0
4.5,14,0.33,9.2,33,48,20,1.5,0
4.8,15,0.32,9.8,34,48,24,1.6,0
4.7,14,0.34,9.7,35,43,15,1.5,0
4,13,0.31,8.6,38,42,13,1.6,0
4.4,15,0.33,11,36,45,17,1.6,0
4.3,16,0.34,12,34,43,15,1.5,0
3.5,19,0.38,15,30,38,20,1.4,0
4.1,24,0.48,20,25,39,20,1.5,0
4,26,0.52,22,23,37,15,1.4,0
3.9,24,0.46,21,24,33,15,1.5,0
3.9,24,0.45,20,23,29,15,1.4,0
3.4,24,0.45,21,24,28,14,1.4,0
3,22,0.44,19,24,29,14,1.3,0
2,18,0.38,16,27,29,11,1.2,0
1.2,14,0.33,12,31,27,11,1.3,0
1,10,0.29,9.1,33,26,12,2,0
0.8,9.1,0.24,8.3,34,22,6,2.2,0
0.8,7.4,0.19,6.6,36,21,6,1.8,0
0.7,7.2,0.21,6.5,35,24,6,1.7,0
0.8,7.5,0.2,6.8,37,22,9,1.8,0
1.3,12,0.24,11,32,22,11,1.6,0
3.1,20,0.42,17,27,27,10,1.8,0
5.5,22,0.42,17,27,28,12,2,0
8.4,26,0.45,18,27,29,12,2,0
8.6,25,0.41,16,29,32,11,2.1,0
7.1,21,0.37,14,33,27,10,2,0
4.7,16,0.34,11,39,23,7,2.1,0
5.2,18,0.37,13,38,26,12,2,0
5.5,20,0.4,15,35,27,16,2.1,0
5.4,25,0.46,20,28,29,15,2,0
5,28,0.54,23,23,29,15,2.3,0
9,44,0.89,35,11,33,20,2.4,0
6.2,39,0.88,33,11,38,21,2.3,0
11,48,1.02,37,6.9,37,17,2.6,0
16,51,0.91,35,6.6,37,15,2.7,0
11,40,0.73,29,9.1,32,18,2.4,0
15,46,0.91,31,6.1,28,12,2.5,0
52,82,1.38,31,1.2,44,19,5.3,0
32,61,1.04,29,1,59,31,4.7,1
15,43,0.79,28,0.7,54,34,2.9,1
18,44,0.78,26,0.6,53,37,2.7,1
16,39,0.78,23,0.5,50,36,2.5,0
16,40,0.8,24,0.8,46,31,2.6,0
16,39,0.76,23,0.8,51,34,3.2,1
25,48,0.87,23,0.7,56,38,3.4,1
29,52,1.04,23,2.1,60,36,4.5,1
37,70,1.27,32,5.5,67,40,4.6,1
25,66,1.28,41,15,71,44,3.8,1
16,57,1.24,41,29,78,46,3.7,1
5.2,27,0.82,22,50,71,44,2.3,1
3,21,0.61,18,62,56,36,3.1,1
4.3,25,0.6,21,55,71,41,4.8,1
3.4,26,0.61,23,59,89,52,5.3,1
2.7,27,0.63,24,56,89,52,5.4,1
1.9,29,0.66,28,49,89,48,5.3,1
1.8,40,1.03,38,29,90,48,4.5,1
6.3,62,1.66,55,8.3,94,56,3.8,1
5.8,56,1.55,50,9.1,93,57,2.7,1
38,91,1.98,54,1,94,53,3.6,1
54,102,2.11,47,1,98,57,4.1,1
64,109,2.43,45,1.2,95,57,3.8,1
14,44,1.06,29,2.6,68,39,2.1,1
18,46,1.07,28,2.6,44,27,2.1,0
51,83,1.89,32,0.9,64,43,3.4,1
47,79,1.69,32,0.7,78,50,3.5,1
31,57,1.32,26,0.6,70,45,3.1,1
33,60,1.34,27,0.7,66,46,3,1
43,67,1.34,24,0.9,67,46,3.3,1
38,64,1.26,26,0.9,65,42,3.7,1
61,88,1.73,27,1.9,65,41,5.2,1
58,91,1.59,33,3.9,68,44,8.2,1
44,98,1.91,54,9.8,77,52,7.5,1
28,82,1.5,54,20,84,57,6.6,1
6.7,51,1.06,45,30,67,37,4.1,1
13,61,1.01,48,10,89,42,6.2,1
19,77,1.24,58,6.6,111,0,7.8,2
50,115,1.57,65,2.9,132,67,11,2
79,149,3.22,70,2,143,71,7.8,2
99,169,3.9,70,1.5,130,77,6.9,2
96,153,3.5,56,0.9,105,67,5.7,2
212,268,5.9,56,2.2,126,72,9.8,2
157,208,3.98,51,1.4,160,83,11,3
95,136,2.51,41,0.9,132,71,10,2
105,143,2.58,38,1,105,60,11,2
67,101,1.81,34,0.5,92,52,9.5,1
40,71,1.28,31,0.5,78,42,8,1
39,69,1.32,30,0.5,67,36,7.3,1
45,75,1.38,30,0.6,64,38,7.1,1
48,79,1.39,31,0.6,60,36,9.7,1
57,87,1.52,30,0.7,59,37,7.8,1
75,106,1.67,31,1,66,38,10,1
91,126,2.31,35,1.3,76,41,9.8,1
91,141,3.15,50,2.3,79,48,8,1
57,121,2.43,63,7.3,79,45,6.3,1
22,56,0.95,35,10,61,31,3.6,1
13,50,0.96,38,23,55,25,4.3,1
7.6,39,0.74,31,33,59,31,4.5,1
7.5,38,0.63,30,35,55,32,5.7,1
5,33,0.57,28,39,61,29,4.2,1
3.9,28,0.56,24,39,67,33,3,1
2.2,31,0.84,29,52,98,57,4.1,1
1.8,37,1.18,36,42,131,88,4.4,2
3.8,38,1.18,34,30,134,94,2.8,2
3.2,33,1.03,30,27,123,79,2.8,2
2.6,28,0.88,26,28,103,67,1.8,2
2.8,27,0.88,24,26,75,47,1.3,1
1.8,22,0.82,21,28,46,29,1.3,0
1.6,16,0.67,15,36,37,25,1.6,0
1.1,13,0.6,12,39,38,24,2.5,0
0.8,13,0.58,12,39,40,25,4.7,0
1,11,0.56,9.5,40,44,31,2.9,0
1.3,8.4,0.49,7.1,36,37,24,2.2,0
0.9,8.5,0.35,7.6,35,21,11,1.9,0
1.2,9.2,0.32,8.1,34,13,8,1.7,0
2,17,0.34,15,27,13,6,1.8,0
4.4,25,0.52,20,22,15,9,1.8,0
8.3,35,0.65,27,15,15,10,1.9,0
10,37,0.56,27,15,21,8,2.2,0
7,28,0.44,21,19,21,6,1.9,0
7.3,31,0.51,24,19,21,6,1.9,0
5.5,29,0.58,23,20,27,8,2,0
5,28,0.66,23,17,27,10,2.1,0
7.8,38,0.83,30,13,53,25,2.1,1
8,40,0.92,32,13,54,20,2.2,1
6.3,35,0.86,29,18,42,19,1.1,0
3.6,29,0.87,25,23,38,23,1.4,0
2.7,20,0.67,17,33,42,23,1.6,0
2.3,22,0.74,20,32,43,19,1.7,0
2.4,21,0.74,19,30,44,21,1.7,0
1.7,17,0.6,15,33,46,22,1.8,0
1.4,13,0.49,11,35,50,23,2.2,0
1.4,9.3,0.38,8,39,51,30,4.2,1
1.4,9.4,0.38,8,36,55,34,3.8,1
0.6,7.9,0.37,7.3,34,59,33,3.6,1
0.4,8.4,0.37,8,32,65,34,3.4,1
1.3,10,0.4,9,30,72,37,3.1,1
2.8,18,0.45,15,26,77,38,4.3,1
5.3,27,0.69,22,20,86,44,4.8,1
7.7,31,0.71,23,20,104,46,5.1,2
6.1,27,0.61,21,23,109,43,5.2,2
8.3,33,0.65,24,22,98,45,5.3,1
6.2,26,0.55,20,28,88,46,4.4,1
6.1,23,0.54,17,27,79,41,2.9,1
5.1,22,0.47,17,26,75,38,2.1,1
4.5,23,0.48,18,27,76,36,2.5,1
4.6,24,0.49,19,27,79,40,2.6,1
6.7,33,0.61,27,18,83,42,4.3,1
6.4,32,0.7,26,17,82,40,2.6,1
9,38,0.89,29,12,79,40,2.4,1
5.9,31,0.73,25,16,79,37,2.1,1
4.5,26,0.61,22,19,68,33,1.8,1
5.6,30,0.68,25,17,59,31,1.9,1
