DATE,HC,NOX,SO@,HUMID
01-03-2019,21,15,59,59
02-03-2019,8,10,39,57
03-03-2019,6,6,33,54
04-03-2019,18,8,24,56
05-03-2019,43,38,206,55
      06-03-2019,30,32,72,54
07-03-2019,21,32,62,56
08-03-2019,6,4,4,56
09-03-2019,18,12,37,61
10-03-2019,12,7,20,59
11-03-2019,18,8,27,56
12-03-2019,88,63,278,58
13-03-2019,26,26,146,57
14-03-2019,31,21,64,60
15-03-2019,23,9,15,58
16-03-2019,1,1,1,54
17-03-2019,6,4,16,58
18-03-2019,17,8,28,38
19-03-2019,52,35,124,59
20-03-2019,11,4,11,61
21-03-2019,1,1,1,53
22-03-2019,5,3,10,61
23-03-2019,8,3,5,53
24-03-2019,7,3,10,56
25-03-2019,6,5,1,59
26-03-2019,13,7,33,60
27-03-2019,7,4,4,55
28-03-2019,11,7,32,54
29-03-2019,648,319,130,47
30-03-2019,38,37,193,57
31-03-2019,15,18,34,59
01-04-2019,3,1,1,60
02-04-2019,33,23,125,64
03-04-2019,20,11,26,58
04-04-2019,17,14,78,56
05-04-2019,4,3,8,58
06-04-2019,20,17,1,62
07-04-2019,41,26,108,58
08-04-2019,29,32,161,54
09-04-2019,45,59,263,56
10-04-2019,56,21,44,73
11-04-2019,6,4,18,56
12-04-2019,11,11,89,54
13-04-2019,12,9,48,53
14-04-2019,7,4,18,60
15-04-2019,31,15,68,57
16-04-2019,144,66,20,61
17-04-2019,311,171,86,71
18-04-2019,105,32,3,71
19-04-2019,20,7,20,72
20-04-2019,5,4,20,56
21-04-2019,8,5,25,61
22-04-2019,11,7,25,59
23-04-2019,5,2,11,60
24-04-2019,65,28,102,52
25-04-2019,4,2,1,54
26-04-2019,14,11,42,56
27-04-2019,7,3,8,56
28-04-2019,8,8,49,54
29-04-2019,14,13,39,58
